id,Title,Content,Video Link,Case Study Link,Blog Post Link,Media / PR Link,Webinar Link
29956,Air Ambulance Service,,https://www.youtube.com/watch?v=r53IWm9Zmrw,,,,
29957,Direct One,,,/resources/marketing-cloud-firm-uses-hyper-converged-solution-to-process/,,,
29959,Shenzhen Airlines,,,/resource/shenzhen-airlines-cargo-chooses-nutanix-web-scale-infrastructure-for-mission-critical-operations,,,
29961,Bravissimo,,,,,/press-releases/2015/04/29/nutanix-proves-a-good-fit-for-bravissimo/,
29962,Fitness First,,https://www.youtube.com/watch?v=yucB91ZiG4I,,,/press-releases/2015/03/30/nutanix-goes-beyond-hardware-to-fast-track-fitness-first-to-the-cloud/,
29963,Hero,,,,,/press-releases/2014/12/02/hero-shapes-nutanix/,
29964,N2N Connect,,,,,/press-releases/2015/02/09/n2n-reduces-expenditures-50-percent-nutanix-solutions/,
29965,Sligro,,https://www.youtube.com/watch?v=uhtn0O233hY,,,/press-releases/2015/01/29/sligro-food-group-builds-software-defined-datacenter-nutanix-hyper-converged-infrastructure/,
29966,Surrey County Council,,,,,/press-releases/2014/12/11/surrey-county-council-redefines-local-government-nutanix/,
29967,Universitas,,,,,/press-releases/2014/05/15/universitas-chooses-nutanix-to-transform-its-datacenter/,
29968,EASY BUY,,,,,/press-releases/2015/05/07/easy-buy-outlines-it-strategy-based-on-web-scale-converged-infrastructure-from-nutanix/,
29969,Carenection,,,,,,
29970,Georgia Tech Research Institute,,,,,,
29971,IKEA,,,,,,
29972,Magna Housing Group,,,,,,
29974,Prescott College,,,,,,
29975,Houston Healthcare,,,/resource/nutanix-provides-rx-for-vdi-ailments-at-houston-healthcare/,,,
29976,City of Westfield,,,/resource/the-city-of-westfield-moves-all-municipal-applications-and-services-to-nutanix/,,,
29977,Automotive Data Solutions,,,/resource/automotive-data-solutions-migrates-to-acropolis/,,,
29978,Regina Catholic School Division,,,/resource/regina-catholic-school-division-chooses-nutanix-hyperconverged-infrastructure/,,,
29979,Schiller AG,,,/resource/nutanix-enables-schiller-ag-step-competition/,,,
